Trying 192.168.39.208...onnected to 192.168.39.208.scape character is '^]'.how Help ? (Y/N) Monitoring Mode.
2022/11/18 07:15:55.000,    -2.58 mg,   -35.77 mg,   990.29 mg,  28.14 C
2022/11/18 07:15:55.100,     0.43 mg,   -37.00 mg,   993.55 mg,  28.14 C
2022/11/18 07:15:55.200,    -0.06 mg,   -37.48 mg,   996.64 mg,  28.14 C
2022/11/18 07:15:55.300,    -0.10 mg,   -37.75 mg,   998.38 mg,  28.14 C
2022/11/18 07:15:55.400,    -0.40 mg,   -37.05 mg,   995.31 mg,  28.14 C
2022/11/18 07:15:55.500,    -0.67 mg,   -39.54 mg,  1008.17 mg,  28.14 C
2022/11/18 07:15:55.600,    -0.36 mg,   -37.86 mg,   998.73 mg,  28.14 C
2022/11/18 07:15:55.700,    -0.41 mg,   -37.77 mg,   998.17 mg,  28.14 C
2022/11/18 07:15:55.800,    -0.13 mg,   -37.09 mg,   998.11 mg,  28.14 C
2022/11/18 07:15:55.900,    -0.43 mg,   -36.99 mg,   997.15 mg,  28.14 C
2022/11/18 07:15:56.000,    -0.42 mg,   -37.37 mg,   997.24 mg,  28.14 C
2022/11/18 07:15:56.100,    -0.32 mg,   -37.36 mg,   997.29 mg,  28.14 C
2022/11/18 07:15:56.200,     1.91 mg,   -38.40 mg,  1000.52 mg,  28.14 C
2022/11/18 07:15:56.300,    -1.54 mg,   -37.78 mg,   996.06 mg,  28.14 C
2022/11/18 07:15:56.400,     0.47 mg,   -38.49 mg,  1006.74 mg,  28.14 C
2022/11/18 07:15:56.500,    -0.77 mg,   -37.44 mg,   993.96 mg,  28.14 C
2022/11/18 07:15:56.600,    -0.17 mg,   -37.23 mg,   991.17 mg,  28.14 C
2022/11/18 07:15:56.700,     0.34 mg,   -36.02 mg,   989.01 mg,  28.14 C
2022/11/18 07:15:56.800,    -0.22 mg,   -36.95 mg,   992.90 mg,  28.14 C
2022/11/18 07:15:56.900,    -0.42 mg,   -37.30 mg,   995.43 mg,  28.14 C
2022/11/18 07:15:57.000,    -0.50 mg,   -37.18 mg,   995.79 mg,  28.14 C
2022/11/18 07:15:57.100,    -0.55 mg,   -37.64 mg,   997.60 mg,  28.14 C
2022/11/18 07:15:57.200,    -0.65 mg,   -37.93 mg,   998.58 mg,  28.14 C
2022/11/18 07:15:57.300,     0.70 mg,   -37.83 mg,   996.88 mg,  28.14 C
2022/11/18 07:15:57.400,    -0.44 mg,   -38.34 mg,  1000.43 mg,  28.14 C
2022/11/18 07:15:57.500,    -0.88 mg,   -37.77 mg,   997.81 mg,  28.14 C
2022/11/18 07:15:57.600,    -0.39 mg,   -39.42 mg,  1011.55 mg,  28.14 C
2022/11/18 07:15:57.700,    -2.14 mg,   -38.48 mg,  1001.03 mg,  28.14 C
2022/11/18 07:15:57.800,    -0.33 mg,   -37.74 mg,   998.01 mg,  28.14 C
2022/11/18 07:15:57.900,    -1.03 mg,   -36.21 mg,   990.95 mg,  28.14 C
2022/11/18 07:15:58.000,    -0.30 mg,   -37.26 mg,   995.10 mg,  28.14 C
2022/11/18 07:15:58.100,    -0.29 mg,   -37.61 mg,   997.62 mg,  28.14 C
2022/11/18 07:15:58.200,    -0.58 mg,   -37.83 mg,   998.75 mg,  28.14 C
2022/11/18 07:15:58.300,    -0.69 mg,   -37.99 mg,   999.44 mg,  28.14 C
2022/11/18 07:15:58.400,    -1.27 mg,   -38.00 mg,   999.59 mg,  28.14 C
2022/11/18 07:15:58.500,    -0.92 mg,   -37.83 mg,   999.02 mg,  28.14 C
2022/11/18 07:15:58.600,    -0.65 mg,   -37.75 mg,   998.72 mg,  28.14 C
2022/11/18 07:15:58.700,    -0.71 mg,   -37.80 mg,   998.64 mg,  28.14 C
2022/11/18 07:15:58.800,    -0.51 mg,   -37.63 mg,   997.66 mg,  28.14 C
2022/11/18 07:15:58.900,    -0.19 mg,   -37.62 mg,   997.70 mg,  28.14 C
2022/11/18 07:15:59.000,    -0.28 mg,   -37.58 mg,   997.87 mg,  28.14 C
2022/11/18 07:15:59.100,     0.80 mg,   -37.97 mg,  1001.21 mg,  28.14 C
2022/11/18 07:15:59.200,     0.06 mg,   -37.63 mg,   997.27 mg,  28.15 C
2022/11/18 07:15:59.300,    -0.29 mg,   -37.75 mg,   998.48 mg,  28.15 C
2022/11/18 07:15:59.400,    -1.39 mg,   -38.36 mg,  1000.78 mg,  28.14 C
2022/11/18 07:15:59.500,     0.61 mg,   -38.52 mg,  1001.37 mg,  28.14 C
2022/11/18 07:15:59.600,     0.17 mg,   -37.06 mg,   992.13 mg,  28.14 C
2022/11/18 07:15:59.700,     1.37 mg,   -36.82 mg,   991.85 mg,  28.15 C
2022/11/18 07:15:59.800,     1.37 mg,   -37.44 mg,   997.97 mg,  28.15 C
2022/11/18 07:15:59.900,     0.07 mg,   -37.68 mg,   997.68 mg,  28.15 C
2022/11/18 07:16:00.000,    -0.08 mg,   -36.44 mg,   994.21 mg,  28.15 C
2022/11/18 07:16:00.100,    -0.49 mg,   -37.43 mg,   997.14 mg,  28.15 C
2022/11/18 07:16:00.200,    -1.18 mg,   -39.64 mg,  1014.75 mg,  28.15 C
2022/11/18 07:16:00.300,    -0.56 mg,   -37.45 mg,   997.81 mg,  28.15 C
2022/11/18 07:16:00.400,    -3.85 mg,   -35.76 mg,   984.73 mg,  28.15 C
2022/11/18 07:16:00.500,    -1.01 mg,   -37.13 mg,   996.51 mg,  28.15 C
2022/11/18 07:16:00.600,    -1.10 mg,   -37.45 mg,   996.88 mg,  28.15 C
2022/11/18 07:16:00.700,    -1.38 mg,   -37.90 mg,   999.05 mg,  28.15 C
2022/11/18 07:16:00.800,    -0.39 mg,   -37.71 mg,   998.65 mg,  28.15 C
2022/11/18 07:16:00.900,    -0.07 mg,   -37.07 mg,   995.18 mg,  28.15 C
2022/11/18 07:16:01.000,    -0.41 mg,   -38.11 mg,  1001.37 mg,  28.15 C
2022/11/18 07:16:01.100,     0.81 mg,   -38.00 mg,  1001.51 mg,  28.15 C
2022/11/18 07:16:01.200,    -0.06 mg,   -37.48 mg,   996.49 mg,  28.15 C
2022/11/18 07:16:01.300,    -0.29 mg,   -37.99 mg,   998.66 mg,  28.15 C
2022/11/18 07:16:01.400,    -0.48 mg,   -37.87 mg,   998.55 mg,  28.15 C
2022/11/18 07:16:01.500,    -0.83 mg,   -37.89 mg,   998.30 mg,  28.15 C
2022/11/18 07:16:01.600,    -0.55 mg,   -37.94 mg,   998.81 mg,  28.15 C
2022/11/18 07:16:01.700,    -0.41 mg,   -38.04 mg,   999.37 mg,  28.15 C
2022/11/18 07:16:01.800,    -0.26 mg,   -37.85 mg,   998.26 mg,  28.15 C
2022/11/18 07:16:01.900,    -0.55 mg,   -37.66 mg,   997.73 mg,  28.15 C
2022/11/18 07:16:02.000,    -0.60 mg,   -37.69 mg,   998.28 mg,  28.15 C
2022/11/18 07:16:02.100,    -0.20 mg,   -37.68 mg,   998.76 mg,  28.15 C
2022/11/18 07:16:02.200,    -0.37 mg,   -37.61 mg,   997.78 mg,  28.15 C
2022/11/18 07:16:02.300,    -0.18 mg,   -37.56 mg,   997.74 mg,  28.15 C
2022/11/18 07:16:02.400,    -0.55 mg,   -37.80 mg,   998.10 mg,  28.15 C
2022/11/18 07:16:02.500,    -0.95 mg,   -38.15 mg,   998.21 mg,  28.15 C
2022/11/18 07:16:02.600,    -0.94 mg,   -38.02 mg,   998.68 mg,  28.15 C
2022/11/18 07:16:02.700,    -0.66 mg,   -37.76 mg,   998.39 mg,  28.15 C
2022/11/18 07:16:02.800,    -0.60 mg,   -37.95 mg,   998.42 mg,  28.15 C
2022/11/18 07:16:02.900,    -0.64 mg,   -37.75 mg,   997.89 mg,  28.15 C
2022/11/18 07:16:03.000,    -0.42 mg,   -37.53 mg,   997.70 mg,  28.15 C
2022/11/18 07:16:03.100,    -0.42 mg,   -37.69 mg,   998.08 mg,  28.15 C
2022/11/18 07:16:03.200,    -0.47 mg,   -37.64 mg,   998.04 mg,  28.15 C
2022/11/18 07:16:03.300,    -0.40 mg,   -37.64 mg,   997.64 mg,  28.15 C
2022/11/18 07:16:03.400,    -0.47 mg,   -37.85 mg,   998.01 mg,  28.15 C
2022/11/18 07:16:03.500,    -0.47 mg,   -37.90 mg,   998.23 mg,  28.15 C
2022/11/18 07:16:03.600,    -0.54 mg,   -37.89 mg,   998.43 mg,  28.15 C


